Chiralindicen,Chiralindicem,Initialatomiccoordinateu,Initialatomiccoordinatev,Initialatomiccoordinatew,Calculatedatomiccoordinatesu,Calculatedatomiccoordinatesv,Calculatedatomiccoordinatesw
3,1,0.65187,0.38876,0.25140,0.67486,0.38365,0.25088
3,1,0.47036,0.25787,0.31550,0.47670,0.23996,0.31637
3,1,0.53403,0.29017,0.40524,0.54393,0.27459,0.40544
3,1,0.24301,0.42439,0.35396,0.22811,0.42237,0.35369
3,1,0.23586,0.36602,0.44371,0.21931,0.35853,0.44235
3,1,0.30083,0.55067,0.50781,0.27914,0.55572,0.50759
3,1,0.26509,0.48716,0.59755,0.23790,0.48388,0.59634
3,1,0.69624,0.75124,0.54627,0.70642,0.77094,0.54735
3,1,0.64823,0.76346,0.63601,0.65003,0.77941,0.63603
3,1,0.75593,0.68457,0.70012,0.76798,0.69584,0.70116
3,1,0.73285,0.72443,0.78986,0.74081,0.73690,0.78974
3,1,0.73491,0.51284,0.43088,0.76046,0.51884,0.43212
3,1,0.75699,0.57561,0.52063,0.77793,0.58530,0.52088
3,1,0.35177,0.23654,0.46935,0.34536,0.22158,0.46950
3,1,0.40840,0.23964,0.55909,0.40088,0.22095,0.55865
3,1,0.26715,0.27557,0.62319,0.24505,0.25750,0.62307
3,1,0.30376,0.24876,0.71294,0.28328,0.22542,0.71189
3,1,0.40427,0.66534,0.66165,0.38681,0.67750,0.66211
3,1,0.34814,0.61124,0.75140,0.32514,0.61635,0.75088
3,1,0.52965,0.74213,0.81550,0.52330,0.76004,0.81637
3,1,0.46597,0.70984,0.90524,0.45607,0.72541,0.90544
3,1,0.76414,0.63398,0.94371,0.78069,0.64147,0.94235
3,1,0.65187,0.38876,0.58473,0.66256,0.38110,0.58568
3,1,0.69917,0.44933,0.67447,0.71221,0.44343,0.67449
3,1,0.53403,0.29017,0.73858,0.53246,0.26753,0.73869
3,1,0.59573,0.33466,0.82832,0.60157,0.31493,0.82716
3,1,0.23586,0.36602,0.77704,0.21261,0.35272,0.77741
3,1,0.24407,0.31543,0.86678,0.22429,0.29946,0.86651
3,1,0.26509,0.48716,0.93088,0.23954,0.48116,0.93212
3,1,0.64823,0.76346,0.96935,0.65465,0.77842,0.96950
3,1,0.75699,0.57561,0.85396,0.77189,0.57763,0.85369
3,1,0.40840,0.23964,0.89242,0.40068,0.21744,0.89294
3,1,0.47036,0.25787,0.98217,0.47082,0.23604,0.98165
3,2,0.63726,0.79131,0.03292,0.63672,0.80397,0.03293
3,2,0.40378,0.69017,0.04169,0.39347,0.69468,0.04178
3,2,0.31966,0.60814,0.11187,0.30593,0.60702,0.11211
3,2,0.74310,0.76082,0.09432,0.75314,0.77544,0.09417
3,2,0.67771,0.78894,0.16450,0.68238,0.80436,0.16436
3,2,0.76625,0.73584,0.22590,0.77795,0.74943,0.22580
3,2,0.71331,0.77868,0.29608,0.72075,0.79440,0.29603
3,2,0.54962,0.27607,0.00660,0.55507,0.26928,0.00650
3,2,0.23375,0.26416,0.05923,0.21902,0.24606,0.05935
3,2,0.20939,0.37410,0.12064,0.19467,0.36370,0.12095
3,2,0.21786,0.29556,0.19081,0.20590,0.28063,0.19115
3,2,0.45038,0.72393,0.17327,0.44507,0.73209,0.17323
3,2,0.35981,0.65121,0.24344,0.34876,0.65413,0.24350
3,2,0.49833,0.75159,0.30485,0.49549,0.76351,0.30489
3,2,0.40378,0.69017,0.37502,0.39409,0.69497,0.37502
3,2,0.78214,0.70444,0.35748,0.79722,0.71807,0.35720
3,2,0.74310,0.76082,0.42765,0.75469,0.77745,0.42748
3,2,0.79034,0.66745,0.48906,0.80795,0.68105,0.48913
3,2,0.76625,0.73584,0.55923,0.78098,0.75394,0.55935
3,2,0.74492,0.48561,0.01537,0.75736,0.48777,0.01535
3,2,0.78296,0.58092,0.08555,0.79564,0.58888,0.08549
3,2,0.40694,0.21426,0.06801,0.40286,0.19932,0.06785
3,2,0.50167,0.24842,0.13818,0.50540,0.23622,0.13794
3,2,0.36274,0.20869,0.19958,0.35869,0.19291,0.19977
3,2,0.45367,0.22762,0.26976,0.45817,0.21551,0.26983
3,2,0.21704,0.41909,0.25222,0.20477,0.41230,0.25238
3,2,0.20967,0.33255,0.32239,0.19809,0.31989,0.32249
3,2,0.23241,0.46628,0.38380,0.21904,0.46082,0.38385
3,2,0.20939,0.37410,0.45397,0.19671,0.36286,0.45401
3,2,0.54633,0.77238,0.43643,0.54676,0.78413,0.43620
3,2,0.45038,0.72393,0.50660,0.44493,0.73072,0.50650
3,2,0.59306,0.78574,0.56801,0.59714,0.80069,0.56785
3,2,0.49833,0.75159,0.63818,0.49460,0.76378,0.63794
3,2,0.78214,0.70444,0.69081,0.79411,0.71937,0.69115
3,2,0.79034,0.66745,0.82239,0.80191,0.68011,0.82249
3,2,0.71557,0.43789,0.14695,0.72519,0.43677,0.14675
3,2,0.76759,0.53372,0.21713,0.78156,0.53986,0.21697
3,2,0.68034,0.39186,0.27853,0.69329,0.38913,0.27849
3,2,0.74492,0.48561,0.34871,0.76329,0.49172,0.34852
3,2,0.32229,0.21107,0.33116,0.31883,0.19722,0.33132
3,2,0.40694,0.21426,0.40134,0.41135,0.20380,0.40142
3,2,0.28669,0.22132,0.46274,0.28085,0.20722,0.46271
3,2,0.36274,0.20869,0.53292,0.36328,0.19603,0.53293
3,2,0.25508,0.51439,0.51537,0.24264,0.51223,0.51535
3,2,0.21704,0.41909,0.58555,0.20436,0.41112,0.58549
3,2,0.28443,0.56211,0.64695,0.27481,0.56323,0.64675
3,2,0.23241,0.46628,0.71713,0.21844,0.46014,0.71697
3,2,0.63726,0.79131,0.69958,0.64131,0.80709,0.69977
3,2,0.54633,0.77238,0.76976,0.54183,0.78449,0.76983
3,2,0.67771,0.78894,0.83116,0.68117,0.80278,0.83132
3,2,0.59306,0.78574,0.90134,0.58865,0.79620,0.90142
3,2,0.64019,0.34879,0.41011,0.65334,0.34625,0.41018
3,2,0.71557,0.43789,0.48029,0.73221,0.44276,0.48044
3,2,0.59622,0.30984,0.54169,0.60653,0.30532,0.54178
3,2,0.68034,0.39186,0.61187,0.69407,0.39299,0.61211
3,2,0.25690,0.23918,0.59432,0.24686,0.22456,0.59417
3,2,0.32229,0.21107,0.66450,0.31762,0.19565,0.66436
3,2,0.23375,0.26416,0.72590,0.22206,0.25057,0.72580
3,2,0.28669,0.22132,0.79608,0.27926,0.20560,0.79603
3,2,0.31966,0.60814,0.77853,0.30671,0.61087,0.77849
3,2,0.25508,0.51439,0.84871,0.23671,0.50828,0.84852
3,2,0.35981,0.65121,0.91011,0.34666,0.65375,0.91018
3,2,0.28443,0.56211,0.98029,0.26779,0.55724,0.98044
3,2,0.71331,0.77868,0.96274,0.71916,0.79278,0.96271
3,2,0.79061,0.62590,0.62064,0.80533,0.63630,0.62095
3,2,0.54962,0.27607,0.67327,0.55493,0.26791,0.67323
3,2,0.64019,0.34879,0.74344,0.65124,0.34587,0.74350
3,2,0.50167,0.24842,0.80485,0.50451,0.23649,0.80489
3,2,0.59622,0.30984,0.87502,0.60591,0.30503,0.87502
3,2,0.21786,0.29556,0.85748,0.20278,0.28193,0.85720
3,2,0.25690,0.23918,0.92765,0.24531,0.22255,0.92748
3,2,0.20967,0.33255,0.98906,0.19205,0.31895,0.98913
3,2,0.78296,0.58092,0.75222,0.79523,0.58770,0.75238
3,2,0.76759,0.53372,0.88380,0.78096,0.53918,0.88385
3,2,0.79061,0.62590,0.95397,0.80329,0.63714,0.95401
3,2,0.45367,0.22762,0.93643,0.45324,0.21587,0.93620
4,1,0.79863,0.65477,0.03999,0.81228,0.65833,0.04092
4,1,0.79435,0.69112,0.11142,0.80719,0.69793,0.11139
4,1,0.21278,0.42741,0.06380,0.19848,0.42667,0.06313
4,1,0.56031,0.78350,0.01618,0.56529,0.80137,0.01675
4,1,0.51603,0.76632,0.08761,0.51826,0.78389,0.08730
4,1,0.68126,0.79623,0.13523,0.69051,0.81189,0.13596
4,1,0.64386,0.79863,0.20666,0.65328,0.81599,0.20657
4,1,0.72319,0.43969,0.01618,0.73370,0.43165,0.01595
4,1,0.35614,0.20137,0.03999,0.34706,0.18413,0.03926
4,1,0.23368,0.24971,0.08761,0.22039,0.23873,0.08757
4,1,0.25681,0.22821,0.15904,0.24307,0.21549,0.15819
4,1,0.30888,0.60324,0.11142,0.29853,0.61210,0.11162
4,1,0.27681,0.56031,0.18285,0.26563,0.56808,0.18228
4,1,0.42741,0.71462,0.23046,0.42450,0.73001,0.23082
4,1,0.38503,0.68126,0.30189,0.38078,0.69492,0.30145
4,1,0.76632,0.75029,0.25427,0.77961,0.76125,0.25515
4,1,0.74319,0.77179,0.32570,0.75631,0.78367,0.32579
4,1,0.79863,0.65477,0.37332,0.81228,0.65833,0.37425
4,1,0.79435,0.69112,0.44475,0.80718,0.69793,0.44472
4,1,0.57259,0.28538,0.06380,0.57522,0.27035,0.06432
4,1,0.61497,0.31874,0.13523,0.61936,0.30635,0.13480
4,1,0.43969,0.21650,0.18285,0.43473,0.19908,0.18312
4,1,0.48397,0.23368,0.25427,0.48176,0.21483,0.25360
4,1,0.20137,0.34523,0.20666,0.18762,0.34088,0.20662
4,1,0.20565,0.30888,0.27808,0.19408,0.30278,0.27711
4,1,0.22821,0.47140,0.32570,0.21612,0.47231,0.32577
4,1,0.21278,0.42741,0.39713,0.19848,0.42667,0.39647
4,1,0.56031,0.78350,0.34951,0.56529,0.80137,0.35008
4,1,0.51603,0.76632,0.42094,0.51826,0.78389,0.42064
4,1,0.68126,0.79623,0.46856,0.69051,0.81189,0.46930
4,1,0.64386,0.79863,0.53999,0.65328,0.81599,0.53991
4,1,0.77179,0.52860,0.15904,0.78498,0.52853,0.15983
4,1,0.78722,0.57259,0.23046,0.80108,0.57329,0.23042
4,1,0.69112,0.39677,0.27808,0.70063,0.38760,0.27866
4,1,0.72319,0.43969,0.34951,0.73370,0.43165,0.34929
4,1,0.31874,0.20377,0.30189,0.30956,0.18792,0.30197
4,1,0.35614,0.20137,0.37332,0.34706,0.18413,0.37260
4,1,0.23368,0.24971,0.42094,0.22039,0.23873,0.42090
4,1,0.25681,0.22821,0.49237,0.24307,0.21549,0.49153
4,1,0.30888,0.60324,0.44475,0.29853,0.61210,0.44495
4,1,0.27681,0.56031,0.51618,0.26563,0.56808,0.51561
4,1,0.42741,0.71462,0.56380,0.42450,0.73001,0.56416
4,1,0.38503,0.68126,0.63523,0.38078,0.69492,0.63478
4,1,0.76632,0.75029,0.58761,0.77961,0.76125,0.58848
4,1,0.74319,0.77179,0.65904,0.75631,0.78367,0.65913
4,1,0.79863,0.65477,0.70666,0.81228,0.65833,0.70758
4,1,0.79435,0.69112,0.77808,0.80719,0.69793,0.77805
4,1,0.57259,0.28538,0.39713,0.57522,0.27035,0.39765
4,1,0.61497,0.31874,0.46856,0.61936,0.30635,0.46813
4,1,0.43969,0.21650,0.51618,0.43473,0.19908,0.51646
4,1,0.48397,0.23368,0.58761,0.48176,0.21483,0.58694
4,1,0.20137,0.34523,0.53999,0.18762,0.34088,0.53995
4,1,0.20565,0.30888,0.61142,0.19408,0.30278,0.61045
4,1,0.22821,0.47140,0.65904,0.21612,0.47231,0.65911
4,1,0.21278,0.42741,0.73046,0.19848,0.42667,0.72980
4,1,0.56031,0.78350,0.68285,0.56529,0.80137,0.68341
4,1,0.51603,0.76632,0.75427,0.51826,0.78389,0.75397
4,1,0.68126,0.79623,0.80189,0.69051,0.81189,0.80263
4,1,0.64386,0.79863,0.87332,0.65328,0.81599,0.87324
4,1,0.77179,0.52860,0.49237,0.78498,0.52853,0.49316
4,1,0.78722,0.57259,0.56380,0.80108,0.57329,0.56375
4,1,0.69112,0.39677,0.61142,0.70063,0.38760,0.61200
4,1,0.72319,0.43969,0.68285,0.73370,0.43165,0.68262
4,1,0.31874,0.20377,0.63523,0.30956,0.18792,0.63530
4,1,0.35614,0.20137,0.70666,0.34706,0.18413,0.70593
4,1,0.23368,0.24971,0.75427,0.22039,0.23873,0.75423
4,1,0.25681,0.22821,0.82570,0.24307,0.21549,0.82486
4,1,0.30888,0.60324,0.77808,0.29853,0.61210,0.77828
4,1,0.27681,0.56031,0.84951,0.26563,0.56808,0.84895
4,1,0.42741,0.71462,0.89713,0.42450,0.73001,0.89749
4,1,0.38503,0.68126,0.96856,0.38078,0.69492,0.96812
4,1,0.76632,0.75029,0.92094,0.77961,0.76125,0.92181
4,1,0.74319,0.77179,0.99237,0.75631,0.78367,0.99246
4,1,0.57259,0.28538,0.73046,0.57522,0.27035,0.73099
4,1,0.61497,0.31874,0.80189,0.61936,0.30635,0.80146
4,1,0.43969,0.21650,0.84951,0.43473,0.19908,0.84979
4,1,0.48397,0.23368,0.92094,0.48176,0.21483,0.92027
4,1,0.20137,0.34523,0.87332,0.18762,0.34088,0.87329
4,1,0.20565,0.30888,0.94475,0.19408,0.30278,0.94378
4,1,0.22821,0.47140,0.99237,0.21612,0.47231,0.99244
4,1,0.77179,0.52860,0.82570,0.78498,0.52853,0.82650
4,1,0.78722,0.57259,0.89713,0.80108,0.57329,0.89709
4,1,0.69112,0.39677,0.94475,0.70063,0.38760,0.94533
4,1,0.31874,0.20377,0.96856,0.30956,0.18792,0.96864
4,2,0.81852,0.67913,0.06807,0.83143,0.68645,0.06860
4,2,0.80542,0.73347,0.18712,0.81828,0.74353,0.18686
4,2,0.23667,0.52478,0.04426,0.22592,0.52452,0.04394
4,2,0.54850,0.79760,0.11569,0.55049,0.80891,0.11531
4,2,0.68065,0.81838,0.21093,0.68788,0.83037,0.21120
4,2,0.61752,0.81591,0.32998,0.62163,0.82764,0.32948
4,2,0.81852,0.67913,0.40140,0.83053,0.68631,0.40100
4,2,0.18148,0.32087,0.06807,0.16857,0.31355,0.06860
4,2,0.19458,0.26653,0.18712,0.18173,0.25647,0.18686
4,2,0.34113,0.66047,0.13950,0.33573,0.66613,0.14001
4,2,0.28347,0.59501,0.25855,0.27609,0.59763,0.25819
4,2,0.40675,0.71788,0.35379,0.40435,0.72450,0.35428
4,2,0.34113,0.66047,0.47283,0.33552,0.66554,0.47276
4,2,0.73472,0.80488,0.42521,0.74503,0.81799,0.42554
4,2,0.68065,0.81838,0.54426,0.68819,0.83160,0.54377
4,2,0.77702,0.77610,0.63950,0.78808,0.78712,0.63977
4,2,0.73472,0.80488,0.75855,0.74462,0.81804,0.75815
4,2,0.76333,0.47522,0.04426,0.77408,0.47548,0.04394
4,2,0.45150,0.20240,0.11569,0.44951,0.19110,0.11531
4,2,0.31935,0.18162,0.21093,0.31212,0.16963,0.21120
4,2,0.38248,0.18409,0.32998,0.37837,0.17236,0.32948
4,2,0.18436,0.38419,0.28236,0.17234,0.37986,0.28275
4,2,0.18148,0.32087,0.40140,0.16947,0.31369,0.40100
4,2,0.20307,0.45331,0.49664,0.19155,0.45104,0.49708
4,2,0.18436,0.38419,0.61569,0.17216,0.37903,0.61524
4,2,0.47705,0.76437,0.56807,0.47695,0.77445,0.56835
4,2,0.40675,0.71788,0.68712,0.40330,0.72407,0.68661
4,2,0.54850,0.79760,0.78236,0.55110,0.80903,0.78253
4,2,0.47705,0.76437,0.90140,0.47629,0.77403,0.90094
4,2,0.80542,0.73347,0.85379,0.81831,0.74349,0.85415
4,2,0.77702,0.77610,0.97283,0.78770,0.78717,0.97254
4,2,0.65887,0.33953,0.13950,0.66427,0.33388,0.14001
4,2,0.71653,0.40499,0.25855,0.72391,0.40238,0.25819
4,2,0.59325,0.28212,0.35379,0.59565,0.27550,0.35428
4,2,0.65887,0.33953,0.47283,0.66448,0.33447,0.47276
4,2,0.26528,0.19512,0.42521,0.25497,0.18201,0.42554
4,2,0.31935,0.18162,0.54426,0.31181,0.16840,0.54377
4,2,0.22298,0.22390,0.63950,0.21192,0.21288,0.63977
4,2,0.26528,0.19512,0.75855,0.25538,0.18196,0.75815
4,2,0.23667,0.52478,0.71093,0.22649,0.52466,0.71132
4,2,0.20307,0.45331,0.82998,0.19163,0.45029,0.82978
4,2,0.28347,0.59501,0.92521,0.27628,0.59822,0.92553
4,2,0.61752,0.81591,0.99664,0.62187,0.82759,0.99700
4,2,0.81564,0.61581,0.28236,0.82766,0.62014,0.28275
4,2,0.79693,0.54669,0.49664,0.80845,0.54896,0.49708
4,2,0.81564,0.61581,0.61569,0.82784,0.62097,0.61524
4,2,0.52295,0.23563,0.56807,0.52305,0.22555,0.56835
4,2,0.59325,0.28212,0.68712,0.59670,0.27593,0.68661
4,2,0.45150,0.20240,0.78236,0.44890,0.19097,0.78253
4,2,0.52295,0.23563,0.90140,0.52371,0.22597,0.90094
4,2,0.19458,0.26653,0.85379,0.18169,0.25651,0.85415
4,2,0.22298,0.22390,0.97283,0.21231,0.21283,0.97254
4,2,0.76333,0.47522,0.71093,0.77351,0.47534,0.71132
4,2,0.79693,0.54669,0.82998,0.80837,0.54971,0.82978
4,2,0.71653,0.40499,0.92521,0.72372,0.40178,0.92553
4,2,0.38248,0.18409,0.99664,0.37813,0.17241,0.99700
4,3,0.83746,0.69713,0.02882,0.84674,0.70572,0.02916
4,3,0.81831,0.76028,0.07837,0.82567,0.76886,0.07892
4,3,0.59539,0.82946,0.03783,0.59501,0.83790,0.03839
4,3,0.69833,0.83732,0.08287,0.70139,0.84558,0.08344
4,3,0.62264,0.83507,0.13242,0.62041,0.83940,0.13292
4,3,0.83903,0.67303,0.12341,0.84666,0.67658,0.12363
4,3,0.82707,0.74092,0.17296,0.83162,0.74380,0.17331
4,3,0.83347,0.71982,0.26756,0.83487,0.71924,0.26741
4,3,0.17899,0.43399,0.00179,0.16697,0.43343,0.00143
4,3,0.16185,0.35232,0.05134,0.14503,0.34579,0.05097
4,3,0.39684,0.72813,0.04233,0.39200,0.73275,0.04272
4,3,0.31879,0.65757,0.09188,0.30833,0.65750,0.09220
4,3,0.42461,0.74858,0.13693,0.41809,0.74998,0.13730
4,3,0.34374,0.68246,0.18648,0.33325,0.68032,0.18681
4,3,0.72094,0.83319,0.17747,0.72277,0.83738,0.17777
4,3,0.64901,0.83826,0.22702,0.64717,0.84244,0.22712
4,3,0.74195,0.82667,0.27206,0.74399,0.83041,0.27192
4,3,0.67430,0.83901,0.32161,0.67623,0.84541,0.32149
4,3,0.83746,0.69713,0.36215,0.84325,0.69801,0.36158
4,3,0.83903,0.67303,0.45675,0.85181,0.67614,0.45613
4,3,0.27906,0.16681,0.01080,0.26833,0.15826,0.01024
4,3,0.20600,0.20674,0.05584,0.19154,0.19758,0.05529
4,3,0.25805,0.17333,0.10539,0.24426,0.16029,0.10484
4,3,0.18940,0.46243,0.09639,0.17391,0.45793,0.09645
4,3,0.16516,0.37874,0.14594,0.14789,0.36893,0.14598
4,3,0.20205,0.49114,0.19098,0.18885,0.48491,0.19123
4,3,0.17089,0.40603,0.24053,0.15710,0.39611,0.24089
4,3,0.45291,0.76724,0.23152,0.44699,0.76809,0.23170
4,3,0.36983,0.70604,0.28107,0.36217,0.70396,0.28139
4,3,0.48156,0.78397,0.32612,0.47910,0.78630,0.32613
4,3,0.39684,0.72813,0.37566,0.39329,0.72869,0.37587
4,3,0.76123,0.81780,0.36666,0.76790,0.82331,0.36617
4,3,0.69833,0.83732,0.41621,0.70521,0.84425,0.41596
4,3,0.77861,0.80663,0.46125,0.79096,0.81353,0.46064
4,3,0.72094,0.83319,0.51080,0.73167,0.84174,0.51024
4,3,0.79796,0.50886,0.02431,0.80369,0.51235,0.02448
4,3,0.46096,0.18881,0.01530,0.45565,0.18279,0.01477
4,3,0.54709,0.23276,0.06485,0.54428,0.22786,0.06446
4,3,0.43254,0.17851,0.10990,0.42452,0.16783,0.10923
4,3,0.51845,0.21603,0.15945,0.51299,0.20515,0.15888
4,3,0.19274,0.22223,0.15044,0.17564,0.20778,0.15018
4,3,0.23878,0.18220,0.19999,0.22510,0.16658,0.19973
4,3,0.18169,0.23972,0.24503,0.16673,0.22500,0.24518
4,3,0.22139,0.19337,0.29458,0.20782,0.17562,0.29479
4,3,0.21684,0.51992,0.28557,0.20657,0.51373,0.28601
4,3,0.17899,0.43399,0.33512,0.16871,0.42522,0.33568
4,3,0.23367,0.54855,0.38017,0.22767,0.54487,0.38051
4,3,0.18940,0.46243,0.42972,0.18123,0.45546,0.43011
4,3,0.51033,0.79866,0.42071,0.51234,0.80273,0.42058
4,3,0.42461,0.74858,0.47026,0.42394,0.75099,0.47014
4,3,0.53904,0.81119,0.51530,0.54435,0.81721,0.51477
4,3,0.45291,0.76724,0.56485,0.45572,0.77214,0.56446
4,3,0.79400,0.79326,0.55584,0.80846,0.80242,0.55529
4,3,0.74195,0.82667,0.60539,0.75574,0.83971,0.60484
4,3,0.80726,0.77777,0.65044,0.82436,0.79222,0.65018
4,3,0.76123,0.81780,0.69999,0.77490,0.83342,0.69973
4,3,0.72703,0.39544,0.06936,0.72853,0.39334,0.06919
4,3,0.78316,0.48008,0.11891,0.78631,0.47915,0.11891
4,3,0.70486,0.36846,0.16395,0.70315,0.36100,0.16347
4,3,0.76633,0.45145,0.21350,0.76623,0.44445,0.21334
4,3,0.40461,0.17054,0.20449,0.39472,0.15408,0.20396
4,3,0.48967,0.20134,0.25404,0.48245,0.18427,0.25371
4,3,0.37736,0.16493,0.29909,0.36631,0.14391,0.29903
4,3,0.46096,0.18881,0.34864,0.45518,0.17050,0.34866
4,3,0.17294,0.25908,0.33963,0.16120,0.24497,0.34010
4,3,0.20600,0.20674,0.38918,0.19734,0.19198,0.38970
4,3,0.16654,0.28018,0.43422,0.15669,0.26831,0.43466
4,3,0.19274,0.22223,0.48377,0.18392,0.20887,0.48436
4,3,0.25243,0.57683,0.47476,0.24782,0.57553,0.47483
4,3,0.20205,0.49114,0.52431,0.19631,0.48765,0.52448
4,3,0.27297,0.60456,0.56936,0.27147,0.60666,0.56919
4,3,0.21684,0.51992,0.61891,0.21369,0.52085,0.61891
4,3,0.56746,0.82149,0.60990,0.57548,0.83217,0.60923
4,3,0.48156,0.78397,0.65945,0.48702,0.79485,0.65888
4,3,0.59539,0.82946,0.70449,0.60528,0.84592,0.70396
4,3,0.51033,0.79866,0.75404,0.51755,0.81573,0.75371
4,3,0.81831,0.76028,0.74503,0.83327,0.77500,0.74518
4,3,0.77861,0.80663,0.79458,0.79218,0.82439,0.79479
4,3,0.82707,0.74092,0.83963,0.83880,0.75503,0.84010
4,3,0.79400,0.79326,0.88918,0.80266,0.80802,0.88970
4,3,0.83815,0.64768,0.21801,0.84059,0.64459,0.21803
4,3,0.68121,0.34244,0.25855,0.67760,0.32989,0.25817
4,3,0.74757,0.42317,0.30810,0.74618,0.41429,0.30777
4,3,0.65626,0.31754,0.35314,0.65428,0.30452,0.35298
4,3,0.72703,0.39544,0.40269,0.73045,0.38849,0.40230
4,3,0.35099,0.16175,0.39368,0.34348,0.14335,0.39413
4,3,0.43254,0.17851,0.44323,0.43059,0.16498,0.44370
4,3,0.32570,0.16099,0.48828,0.32056,0.14682,0.48886
4,3,0.40461,0.17054,0.53783,0.40499,0.16210,0.53839
4,3,0.16254,0.30287,0.52882,0.15326,0.29429,0.52916
4,3,0.18169,0.23972,0.57837,0.17433,0.23114,0.57892
4,3,0.16097,0.32697,0.62341,0.15334,0.32342,0.62363
4,3,0.17294,0.25908,0.67296,0.16838,0.25620,0.67331
4,3,0.29514,0.63154,0.66395,0.29685,0.63900,0.66347
4,3,0.23367,0.54855,0.71350,0.23378,0.55555,0.71334
4,3,0.31879,0.65757,0.75855,0.32240,0.67012,0.75817
4,3,0.25243,0.57683,0.80810,0.25382,0.58572,0.80777
4,3,0.62264,0.83507,0.79909,0.63369,0.85609,0.79903
4,3,0.53904,0.81119,0.84864,0.54482,0.82951,0.84866
4,3,0.64901,0.83826,0.89368,0.65653,0.85665,0.89413
4,3,0.56746,0.82149,0.94323,0.56941,0.83502,0.94370
4,3,0.83347,0.71982,0.93422,0.84331,0.73169,0.93466
4,3,0.80726,0.77777,0.98377,0.81608,0.79113,0.98436
4,3,0.83484,0.62126,0.31260,0.83570,0.61616,0.31222
4,3,0.82911,0.59398,0.40720,0.83607,0.59147,0.40652
4,3,0.63018,0.29396,0.44774,0.63277,0.28554,0.44782
4,3,0.70486,0.36846,0.49729,0.71151,0.36473,0.49726
