,_id,Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w',Calculated atomic coordinates u',Calculated atomic coordinates v',Calculated atomic coordinates w',Initial atomic coordinate w
49,60be2c98e45173768720fa36,3,1,0.470355,0.257866,,0.476696,0.239962,0.316373,0.3155
50,60be2c98e45173768720fa37,3,1,0.534031,0.290165,,0.543931,0.27459,0.405442,0.405243
51,60be2c98e45173768720fa38,3,1,0.24301,0.424391,,0.22811,0.42237,0.353687,0.353961
52,60be2c98e45173768720fa39,3,1,0.235864,0.366019,,0.21931,0.358527,0.442351,0.443705
53,60be2c98e45173768720fa3a,3,1,0.300826,0.550669,,0.27914,0.555719,0.50759,0.507807
54,60be2c98e45173768720fa3b,3,1,0.265092,0.487157,,0.237903,0.483879,0.596337,0.597551
55,60be2c98e45173768720fa3c,3,1,0.696244,0.751243,,0.706416,0.770935,0.547346,0.546269
56,60be2c98e45173768720fa3d,3,1,0.648228,0.763458,,0.650028,0.77941,0.636027,0.636013
57,60be2c98e45173768720fa3e,3,1,0.755932,0.684567,,0.767984,0.695844,0.701163,0.700115
58,60be2c98e45173768720fa3f,3,1,0.732854,0.724426,,0.740808,0.736904,0.789735,0.789859
59,60be2c98e45173768720fa40,3,1,0.734908,0.512843,,0.76046,0.51884,0.432119,0.430884
60,60be2c98e45173768720fa41,3,1,0.75699,0.575609,,0.777932,0.585297,0.520882,0.520628
61,60be2c98e45173768720fa42,3,1,0.351772,0.236542,,0.345355,0.221578,0.469496,0.469346
62,60be2c98e45173768720fa43,3,1,0.408402,0.239639,,0.40088,0.220949,0.558651,0.55909
63,60be2c98e45173768720fa44,3,1,0.267146,0.275574,,0.245047,0.257499,0.623074,0.623192
64,60be2c98e45173768720fa45,3,1,0.303756,0.248757,,0.283279,0.225421,0.711887,0.712936
65,60be2c98e45173768720fa46,3,1,0.40427,0.665341,,0.386812,0.677496,0.66211,0.661654
66,60be2c98e45173768720fa47,3,1,0.348135,0.611237,,0.325138,0.616354,0.750882,0.751397
67,60be2c98e45173768720fa48,3,1,0.529645,0.742134,,0.523304,0.760038,0.816373,0.8155
68,60be2c98e45173768720fa49,3,1,0.465969,0.709835,,0.456069,0.72541,0.905442,0.905243
69,60be2c98e45173768720fa4a,3,1,0.764136,0.633981,,0.78069,0.641473,0.942351,0.943705
70,60be2c98e45173768720fa4b,3,1,0.651865,0.388763,,0.662563,0.381101,0.585676,0.584731
71,60be2c98e45173768720fa4c,3,1,0.699174,0.449331,,0.712211,0.443425,0.674486,0.674474
72,60be2c98e45173768720fa4d,3,1,0.534031,0.290165,,0.532457,0.267534,0.738691,0.738577
73,60be2c98e45173768720fa4e,3,1,0.59573,0.334659,,0.601573,0.314933,0.827159,0.82832
74,60be2c98e45173768720fa4f,3,1,0.235864,0.366019,,0.212606,0.352715,0.777407,0.777038
75,60be2c98e45173768720fa50,3,1,0.244068,0.315433,,0.224287,0.299455,0.866505,0.866782
76,60be2c98e45173768720fa51,3,1,0.265092,0.487157,,0.23954,0.48116,0.932119,0.930884
77,60be2c98e45173768720fa52,3,1,0.648228,0.763458,,0.654645,0.778422,0.969496,0.969346
78,60be2c98e45173768720fa53,3,1,0.75699,0.575609,,0.77189,0.57763,0.853688,0.853961
79,60be2c98e45173768720fa54,3,1,0.408402,0.239639,,0.400682,0.217438,0.892936,0.892423
80,60be2c98e45173768720fa55,3,1,0.470355,0.257866,,0.470821,0.236035,0.98165,0.982166
81,60be2c98e45173768720fa56,3,2,0.637257,0.791312,,0.636717,0.803969,0.032929,0.032917
82,60be2c98e45173768720fa57,3,2,0.403783,0.690165,,0.393472,0.694676,0.041784,0.041689
83,60be2c98e45173768720fa58,3,2,0.31966,0.608137,,0.30593,0.607015,0.112105,0.111865
84,60be2c98e45173768720fa59,3,2,0.743096,0.760817,,0.753137,0.775437,0.094168,0.094321
85,60be2c98e45173768720fa5a,3,2,0.677708,0.788935,,0.682379,0.804355,0.164358,0.164496
86,60be2c98e45173768720fa5b,3,2,0.766249,0.735843,,0.777945,0.749432,0.225798,0.2259
87,60be2c98e45173768720fa5c,3,2,0.713311,0.778677,,0.720745,0.794402,0.296029,0.296075
88,60be2c98e45173768720fa5d,3,2,0.549619,0.276071,,0.555071,0.269279,0.006501,0.006602
89,60be2c98e45173768720fa5e,3,2,0.233751,0.264157,,0.219019,0.246063,0.059347,0.059233
90,60be2c98e45173768720fa5f,3,2,0.209389,0.3741,,0.19467,0.363701,0.120952,0.120637
91,60be2c98e45173768720fa60,3,2,0.21786,0.295564,,0.205895,0.280628,0.191151,0.190812
92,60be2c98e45173768720fa61,3,2,0.450381,0.723929,,0.445071,0.732091,0.173231,0.173268
93,60be2c98e45173768720fa62,3,2,0.359809,0.651213,,0.348764,0.654129,0.243503,0.243444
94,60be2c98e45173768720fa63,3,2,0.498332,0.751585,,0.495486,0.763508,0.304887,0.304847
95,60be2c98e45173768720fa64,3,2,0.403783,0.690165,,0.39409,0.694968,0.375015,0.375023
96,60be2c98e45173768720fa65,3,2,0.78214,0.704436,,0.797217,0.718068,0.357196,0.357479
97,60be2c98e45173768720fa66,3,2,0.743096,0.760817,,0.754694,0.777448,0.427477,0.427654
98,60be2c98e45173768720fa67,3,2,0.790335,0.667452,,0.807952,0.681054,0.489132,0.489058
99,60be2c98e45173768720fa68,3,2,0.766249,0.735843,,0.780981,0.753937,0.559347,0.559233
100,60be2c98e45173768720fa69,3,2,0.74492,0.485609,,0.75736,0.487774,0.015348,0.015373
101,60be2c98e45173768720fa6a,3,2,0.782959,0.580915,,0.795642,0.588879,0.085488,0.085549
102,60be2c98e45173768720fa6b,3,2,0.406938,0.214257,,0.402862,0.199315,0.067847,0.068005
103,60be2c98e45173768720fa6c,3,2,0.501668,0.248415,,0.505401,0.236223,0.137935,0.138181
104,60be2c98e45173768720fa6d,3,2,0.362743,0.208688,,0.358686,0.192911,0.199771,0.199584
105,60be2c98e45173768720fa6e,3,2,0.453671,0.227621,,0.458173,0.215511,0.269828,0.269759
106,60be2c98e45173768720fa6f,3,2,0.217041,0.419085,,0.204773,0.412301,0.252384,0.252216
107,60be2c98e45173768720fa70,3,2,0.209665,0.332548,,0.198094,0.319888,0.322493,0.322391
108,60be2c98e45173768720fa71,3,2,0.232411,0.466278,,0.219043,0.460817,0.383849,0.383795
109,60be2c98e45173768720fa72,3,2,0.209389,0.3741,,0.196708,0.362862,0.454006,0.45397
110,60be2c98e45173768720fa73,3,2,0.546329,0.772379,,0.546758,0.784127,0.436204,0.436426
111,60be2c98e45173768720fa74,3,2,0.450381,0.723929,,0.444929,0.730721,0.506501,0.506602
112,60be2c98e45173768720fa75,3,2,0.593062,0.785743,,0.597138,0.800685,0.567847,0.568005
113,60be2c98e45173768720fa76,3,2,0.498332,0.751585,,0.494599,0.763777,0.637935,0.638181
114,60be2c98e45173768720fa77,3,2,0.78214,0.704436,,0.794105,0.719372,0.691151,0.690812
115,60be2c98e45173768720fa78,3,2,0.790335,0.667452,,0.801906,0.680112,0.822493,0.822391
116,60be2c98e45173768720fa79,3,2,0.71557,0.437889,,0.72519,0.436767,0.146746,0.146952
117,60be2c98e45173768720fa7a,3,2,0.767589,0.533722,,0.781561,0.539864,0.216971,0.217128
118,60be2c98e45173768720fa7b,3,2,0.68034,0.391863,,0.693294,0.389132,0.27849,0.278531
119,60be2c98e45173768720fa7c,3,2,0.74492,0.485609,,0.763292,0.491718,0.348524,0.348707
120,60be2c98e45173768720fa7d,3,2,0.322292,0.211065,,0.318833,0.197217,0.331324,0.331163
121,60be2c98e45173768720fa7e,3,2,0.406938,0.214257,,0.411354,0.203804,0.401423,0.401338
122,60be2c98e45173768720fa7f,3,2,0.286689,0.221323,,0.280845,0.207219,0.462711,0.462742
123,60be2c98e45173768720fa80,3,2,0.362743,0.208688,,0.363282,0.196031,0.532929,0.532917
124,60be2c98e45173768720fa81,3,2,0.25508,0.514391,,0.242639,0.512226,0.515348,0.515373
125,60be2c98e45173768720fa82,3,2,0.217041,0.419085,,0.204358,0.411121,0.585488,0.585549
126,60be2c98e45173768720fa83,3,2,0.28443,0.562111,,0.27481,0.563233,0.646746,0.646952
127,60be2c98e45173768720fa84,3,2,0.232411,0.466278,,0.218439,0.460136,0.716971,0.717128
128,60be2c98e45173768720fa85,3,2,0.637257,0.791312,,0.641314,0.807089,0.699771,0.699584
129,60be2c98e45173768720fa86,3,2,0.546329,0.772379,,0.541827,0.784489,0.769828,0.769759
130,60be2c98e45173768720fa87,3,2,0.677708,0.788935,,0.681167,0.802783,0.831324,0.831163
131,60be2c98e45173768720fa88,3,2,0.593062,0.785743,,0.588646,0.796196,0.901423,0.901338
132,60be2c98e45173768720fa89,3,2,0.640191,0.348787,,0.653342,0.346247,0.410181,0.41011
133,60be2c98e45173768720fa8a,3,2,0.71557,0.437889,,0.732212,0.442763,0.480441,0.480286
134,60be2c98e45173768720fa8b,3,2,0.596217,0.309835,,0.606528,0.305324,0.541784,0.541689
135,60be2c98e45173768720fa8c,3,2,0.68034,0.391863,,0.69407,0.392986,0.612105,0.611865
136,60be2c98e45173768720fa8d,3,2,0.256904,0.239183,,0.246863,0.224563,0.594168,0.594321
137,60be2c98e45173768720fa8e,3,2,0.322292,0.211065,,0.317621,0.195645,0.664358,0.664496
138,60be2c98e45173768720fa8f,3,2,0.233751,0.264157,,0.222055,0.250569,0.725798,0.7259
139,60be2c98e45173768720fa90,3,2,0.286689,0.221323,,0.279255,0.205597,0.796029,0.796075
140,60be2c98e45173768720fa91,3,2,0.31966,0.608137,,0.306706,0.610868,0.77849,0.778531
141,60be2c98e45173768720fa92,3,2,0.25508,0.514391,,0.236708,0.508282,0.848524,0.848707
142,60be2c98e45173768720fa93,3,2,0.359809,0.651213,,0.346659,0.653753,0.910181,0.91011
143,60be2c98e45173768720fa94,3,2,0.28443,0.562111,,0.267788,0.557237,0.980441,0.980286
144,60be2c98e45173768720fa95,3,2,0.713311,0.778677,,0.719155,0.792781,0.962711,0.962742
145,60be2c98e45173768720fa96,3,2,0.790611,0.6259,,0.805331,0.636299,0.620952,0.620637
146,60be2c98e45173768720fa97,3,2,0.549619,0.276071,,0.554928,0.267909,0.673231,0.673268
147,60be2c98e45173768720fa98,3,2,0.640191,0.348787,,0.651236,0.345871,0.743503,0.743444
148,60be2c98e45173768720fa99,3,2,0.501668,0.248415,,0.504514,0.236492,0.804887,0.804847
149,60be2c98e45173768720fa9a,3,2,0.596217,0.309835,,0.60591,0.305032,0.875015,0.875023
150,60be2c98e45173768720fa9b,3,2,0.21786,0.295564,,0.202783,0.281932,0.857196,0.857479
151,60be2c98e45173768720fa9c,3,2,0.256904,0.239183,,0.245306,0.222552,0.927477,0.927654
152,60be2c98e45173768720fa9d,3,2,0.209665,0.332548,,0.192048,0.318946,0.989132,0.989058
153,60be2c98e45173768720fa9e,3,2,0.782959,0.580915,,0.795227,0.587699,0.752384,0.752216
154,60be2c98e45173768720fa9f,3,2,0.767589,0.533722,,0.780957,0.539183,0.883849,0.883795
155,60be2c98e45173768720faa0,3,2,0.790611,0.6259,,0.803292,0.637138,0.954006,0.95397
156,60be2c98e45173768720faa1,3,2,0.453671,0.227621,,0.453242,0.215873,0.936204,0.936426
157,60be2c98e45173768720faa2,4,1,0.798626,0.65477,,0.812277,0.658326,0.040916,0.039988
158,60be2c98e45173768720faa3,4,1,0.794352,0.691116,,0.807185,0.697932,0.111388,0.111416
159,60be2c98e45173768720faa4,4,1,0.212784,0.427407,,0.198483,0.426673,0.063134,0.063797
160,60be2c98e45173768720faa5,4,1,0.560308,0.783502,,0.565293,0.801366,0.016747,0.016178
161,60be2c98e45173768720faa6,4,1,0.516033,0.766319,,0.518262,0.783893,0.087303,0.087607
162,60be2c98e45173768720faa7,4,1,0.681264,0.79623,,0.690505,0.811887,0.135963,0.135226
163,60be2c98e45173768720faa8,4,1,0.643856,0.798626,,0.653283,0.815991,0.206572,0.206655
164,60be2c98e45173768720faa9,4,1,0.723194,0.439692,,0.733703,0.431654,0.015953,0.016178
165,60be2c98e45173768720faaa,4,1,0.356144,0.201374,,0.347059,0.184129,0.039263,0.039988
166,60be2c98e45173768720faab,4,1,0.233681,0.249714,,0.220388,0.238728,0.087568,0.087607
167,60be2c98e45173768720faac,4,1,0.256813,0.228213,,0.243065,0.215492,0.158191,0.159036
168,60be2c98e45173768720faad,4,1,0.308884,0.603235,,0.298531,0.612095,0.111617,0.111416
169,60be2c98e45173768720faae,4,1,0.276806,0.560308,,0.265631,0.568083,0.182279,0.182845
170,60be2c98e45173768720faaf,4,1,0.427407,0.714623,,0.424498,0.730007,0.230823,0.230464
171,60be2c98e45173768720fab0,4,1,0.385034,0.681264,,0.38078,0.69492,0.301449,0.301893
172,60be2c98e45173768720fab1,4,1,0.766319,0.750286,,0.779609,0.761253,0.255146,0.254274
173,60be2c98e45173768720fab2,4,1,0.743187,0.771787,,0.756305,0.783672,0.325794,0.325702
174,60be2c98e45173768720fab3,4,1,0.798626,0.65477,,0.812277,0.658325,0.374249,0.373321
175,60be2c98e45173768720fab4,4,1,0.794352,0.691116,,0.807184,0.697932,0.444721,0.44475
176,60be2c98e45173768720fab5,4,1,0.572593,0.285377,,0.575221,0.270349,0.064318,0.063797
177,60be2c98e45173768720fab6,4,1,0.614966,0.318736,,0.619361,0.306347,0.134796,0.135226
178,60be2c98e45173768720fab7,4,1,0.439692,0.216498,,0.434731,0.199076,0.183122,0.182845
179,60be2c98e45173768720fab8,4,1,0.483967,0.233681,,0.48176,0.214825,0.253602,0.254274
180,60be2c98e45173768720fab9,4,1,0.201374,0.34523,,0.18762,0.340879,0.20662,0.206655
181,60be2c98e45173768720faba,4,1,0.205648,0.308884,,0.194081,0.302779,0.277111,0.278083
182,60be2c98e45173768720fabb,4,1,0.228213,0.471401,,0.216119,0.472308,0.325774,0.325702
183,60be2c98e45173768720fabc,4,1,0.212784,0.427407,,0.198483,0.426673,0.396467,0.397131
184,60be2c98e45173768720fabd,4,1,0.560308,0.783502,,0.565293,0.801366,0.350081,0.349512
185,60be2c98e45173768720fabe,4,1,0.516033,0.766319,,0.518261,0.783893,0.420636,0.42094
186,60be2c98e45173768720fabf,4,1,0.681264,0.79623,,0.690505,0.811887,0.469296,0.468559
187,60be2c98e45173768720fac0,4,1,0.643856,0.798626,,0.653282,0.815991,0.539906,0.539988
188,60be2c98e45173768720fac1,4,1,0.771787,0.528599,,0.784977,0.528527,0.159828,0.159036
189,60be2c98e45173768720fac2,4,1,0.787216,0.572593,,0.80108,0.573294,0.230421,0.230464
190,60be2c98e45173768720fac3,4,1,0.691116,0.396765,,0.70063,0.387602,0.278662,0.278083
191,60be2c98e45173768720fac4,4,1,0.723194,0.439692,,0.733703,0.431653,0.349287,0.349512
192,60be2c98e45173768720fac5,4,1,0.318736,0.20377,,0.309563,0.187916,0.301969,0.301893
193,60be2c98e45173768720fac6,4,1,0.356144,0.201374,,0.347059,0.184129,0.372596,0.373321
194,60be2c98e45173768720fac7,4,1,0.233681,0.249714,,0.220388,0.238728,0.420901,0.42094
195,60be2c98e45173768720fac8,4,1,0.256813,0.228213,,0.243066,0.215492,0.491525,0.492369
196,60be2c98e45173768720fac9,4,1,0.308884,0.603235,,0.298531,0.612095,0.444951,0.44475
197,60be2c98e45173768720faca,4,1,0.276806,0.560308,,0.265631,0.568083,0.515612,0.516178
198,60be2c98e45173768720facb,4,1,0.427407,0.714623,,0.424498,0.730007,0.564156,0.563797
199,60be2c98e45173768720facc,4,1,0.385034,0.681264,,0.38078,0.69492,0.634783,0.635226
200,60be2c98e45173768720facd,4,1,0.766319,0.750286,,0.779608,0.761253,0.588479,0.587607
201,60be2c98e45173768720face,4,1,0.743187,0.771787,,0.756305,0.783671,0.659127,0.659036
202,60be2c98e45173768720facf,4,1,0.798626,0.65477,,0.812277,0.658326,0.707583,0.706655
203,60be2c98e45173768720fad0,4,1,0.794352,0.691116,,0.807185,0.697932,0.778054,0.778083
204,60be2c98e45173768720fad1,4,1,0.572593,0.285377,,0.575221,0.270348,0.397652,0.397131
205,60be2c98e45173768720fad2,4,1,0.614966,0.318736,,0.619361,0.306346,0.468129,0.468559
206,60be2c98e45173768720fad3,4,1,0.439692,0.216498,,0.434732,0.199076,0.516456,0.516178
207,60be2c98e45173768720fad4,4,1,0.483967,0.233681,,0.48176,0.214825,0.586935,0.587607
208,60be2c98e45173768720fad5,4,1,0.201374,0.34523,,0.18762,0.340879,0.539953,0.539988
209,60be2c98e45173768720fad6,4,1,0.205648,0.308884,,0.194081,0.30278,0.610445,0.611416
210,60be2c98e45173768720fad7,4,1,0.228213,0.471401,,0.216119,0.472308,0.659108,0.659036
211,60be2c98e45173768720fad8,4,1,0.212784,0.427407,,0.198483,0.426673,0.7298,0.730464
212,60be2c98e45173768720fad9,4,1,0.560308,0.783502,,0.565293,0.801366,0.683414,0.682845
213,60be2c98e45173768720fada,4,1,0.516033,0.766319,,0.518261,0.783893,0.75397,0.754274
214,60be2c98e45173768720fadb,4,1,0.681264,0.79623,,0.690505,0.811887,0.80263,0.801893
215,60be2c98e45173768720fadc,4,1,0.643856,0.798626,,0.653282,0.81599,0.873239,0.873321
216,60be2c98e45173768720fadd,4,1,0.771787,0.528599,,0.784977,0.528527,0.493161,0.492369
217,60be2c98e45173768720fade,4,1,0.787216,0.572593,,0.80108,0.573293,0.563754,0.563797
218,60be2c98e45173768720fadf,4,1,0.691116,0.396765,,0.70063,0.387602,0.611996,0.611416
219,60be2c98e45173768720fae0,4,1,0.723194,0.439692,,0.733703,0.431653,0.68262,0.682845
220,60be2c98e45173768720fae1,4,1,0.318736,0.20377,,0.309563,0.187917,0.635302,0.635226
221,60be2c98e45173768720fae2,4,1,0.356144,0.201374,,0.347059,0.184129,0.705929,0.706655
222,60be2c98e45173768720fae3,4,1,0.233681,0.249714,,0.220388,0.238728,0.754234,0.754274
223,60be2c98e45173768720fae4,4,1,0.256813,0.228213,,0.243066,0.215492,0.824858,0.825702
224,60be2c98e45173768720fae5,4,1,0.308884,0.603235,,0.298531,0.612095,0.778284,0.778083
225,60be2c98e45173768720fae6,4,1,0.276806,0.560308,,0.265631,0.568083,0.848945,0.849512
226,60be2c98e45173768720fae7,4,1,0.427407,0.714623,,0.424498,0.730006,0.89749,0.897131
227,60be2c98e45173768720fae8,4,1,0.385034,0.681264,,0.38078,0.694919,0.968116,0.968559
228,60be2c98e45173768720fae9,4,1,0.766319,0.750286,,0.779609,0.761253,0.921812,0.92094
229,60be2c98e45173768720faea,4,1,0.743187,0.771787,,0.756305,0.783672,0.99246,0.992369
230,60be2c98e45173768720faeb,4,1,0.572593,0.285377,,0.575221,0.270349,0.730985,0.730464
231,60be2c98e45173768720faec,4,1,0.614966,0.318736,,0.619361,0.306347,0.801462,0.801893
232,60be2c98e45173768720faed,4,1,0.439692,0.216498,,0.434732,0.199076,0.849789,0.849512
233,60be2c98e45173768720faee,4,1,0.483967,0.233681,,0.48176,0.214825,0.920268,0.92094
234,60be2c98e45173768720faef,4,1,0.201374,0.34523,,0.18762,0.340879,0.873286,0.873321
235,60be2c98e45173768720faf0,4,1,0.205648,0.308884,,0.194081,0.302779,0.943778,0.94475
236,60be2c98e45173768720faf1,4,1,0.228213,0.471401,,0.216119,0.472308,0.992441,0.992369
237,60be2c98e45173768720faf2,4,1,0.771787,0.528599,,0.784977,0.528527,0.826495,0.825702
238,60be2c98e45173768720faf3,4,1,0.787216,0.572593,,0.80108,0.573293,0.897087,0.897131
239,60be2c98e45173768720faf4,4,1,0.691116,0.396765,,0.700631,0.387602,0.945329,0.94475
240,60be2c98e45173768720faf5,4,1,0.318736,0.20377,,0.309563,0.187917,0.968636,0.968559
241,60be2c98e45173768720faf6,4,2,0.818516,0.679132,,0.831432,0.686446,0.068597,0.068071
242,60be2c98e45173768720faf7,4,2,0.805424,0.733468,,0.818275,0.743529,0.186857,0.187119
243,60be2c98e45173768720faf8,4,2,0.236666,0.524781,,0.225916,0.524519,0.043942,0.044262
244,60be2c98e45173768720faf9,4,2,0.548504,0.797602,,0.55049,0.808905,0.115307,0.11569
245,60be2c98e45173768720fafa,4,2,0.68065,0.818379,,0.687882,0.83037,0.211197,0.210928
246,60be2c98e45173768720fafb,4,2,0.617524,0.815911,,0.62163,0.827636,0.329481,0.329976
247,60be2c98e45173768720fafc,4,2,0.818516,0.679132,,0.830527,0.686314,0.401001,0.401404
248,60be2c98e45173768720fafd,4,2,0.181484,0.320868,,0.168569,0.313554,0.068597,0.068071
249,60be2c98e45173768720fafe,4,2,0.194576,0.266532,,0.181726,0.256471,0.186857,0.187119
250,60be2c98e45173768720faff,4,2,0.341126,0.660466,,0.33573,0.666125,0.140009,0.1395
251,60be2c98e45173768720fb00,4,2,0.283467,0.595006,,0.276086,0.597625,0.258189,0.258547
252,60be2c98e45173768720fb01,4,2,0.406751,0.717881,,0.40435,0.724498,0.35428,0.353785
253,60be2c98e45173768720fb02,4,2,0.341126,0.660466,,0.33552,0.665535,0.472755,0.472833
254,60be2c98e45173768720fb03,4,2,0.734718,0.804882,,0.745029,0.817994,0.425541,0.425214
255,60be2c98e45173768720fb04,4,2,0.68065,0.818379,,0.688191,0.831602,0.543768,0.544262
256,60be2c98e45173768720fb05,4,2,0.777017,0.776098,,0.788083,0.787117,0.63977,0.6395
257,60be2c98e45173768720fb06,4,2,0.734718,0.804882,,0.74462,0.818039,0.758147,0.758547
258,60be2c98e45173768720fb07,4,2,0.763334,0.475219,,0.774084,0.475481,0.043942,0.044262
259,60be2c98e45173768720fb08,4,2,0.451496,0.202398,,0.44951,0.191095,0.115307,0.11569
260,60be2c98e45173768720fb09,4,2,0.31935,0.181621,,0.312118,0.16963,0.211197,0.210928
261,60be2c98e45173768720fb0a,4,2,0.382476,0.184089,,0.37837,0.172363,0.329481,0.329976
262,60be2c98e45173768720fb0b,4,2,0.184363,0.384187,,0.172342,0.379864,0.28275,0.282357
263,60be2c98e45173768720fb0c,4,2,0.181484,0.320868,,0.169473,0.313686,0.401001,0.401404
264,60be2c98e45173768720fb0d,4,2,0.20307,0.453314,,0.191546,0.451036,0.497083,0.496642
265,60be2c98e45173768720fb0e,4,2,0.184363,0.384187,,0.172162,0.379033,0.615237,0.61569
266,60be2c98e45173768720fb0f,4,2,0.477052,0.764369,,0.476946,0.774451,0.568352,0.568071
267,60be2c98e45173768720fb10,4,2,0.406751,0.717881,,0.403295,0.724069,0.686613,0.687119
268,60be2c98e45173768720fb11,4,2,0.548504,0.797602,,0.551101,0.809031,0.782525,0.782357
